header,class,group,gene,mechanism
JN129451.1.gene1.p01|FEATURES|VIM-30|beta-lactam|VIM,beta-lactam,VIM,VIM-30,NA
ZP_04090195|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:1017706710:emb:SAC74540.1:|FEATURES|mdtA|multidrug|mdtA,multidrug,mdtA,mdtA,NA
gi:490102949:ref:WP_004004810.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:1031658245:gb:ANG25309.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
YP_063446|FEATURES|tetO|tetracycline|tetO,tetracycline,tetO,tetO,NA
gi:504091830:ref:WP_014325824.1:|FEATURES|floR|phenicol|floR,phenicol,floR,floR,NA
AAY67968|FEATURES|vanC|glycopeptide|vanC,glycopeptide,vanC,vanC,NA
gi:695749601:ref:WP_032675865.1:|FEATURES|fosA|fosfomycin|fosA,fosfomycin,fosA,fosA,NA
YP_002237398|FEATURES|bicyclomycin-multidrug_efflux_protein_bcr|multidrug|bicyclomycin-multidrug_efflux_protein_bcr,multidrug,bicyclomycin-multidrug_efflux_protein_bcr,bicyclomycin-multidrug_efflux_protein_bcr,NA
gi:1028180030:ref:WP_063927084.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
ABW03156|FEATURES|qnrB|fluoroquinolone|qnrB,fluoroquinolone,qnrB,qnrB,NA
gi:754952496:ref:WP_042308660.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:895828321:ref:WP_048949453.1:|FEATURES|lsa|MLS|lsa,MLS,lsa,lsa,NA
gi:924501662:ref:WP_053509023.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:447059769:ref:WP_001137025.1:|FEATURES|mdtM|multidrug|mdtM,multidrug,mdtM,mdtM,NA
gi:696298884:ref:WP_032874434.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
X05648.1.gene2.p1|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I,aminoglycoside,aph(6)-I,aph(6)-I,NA
AAA48273|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein,rifamycin,rifampin_resistance_protein,rifampin_resistance_protein,NA
gi:636673301:gb:AIA14492.1:|FEATURES|tetA|tetracycline|tetA,tetracycline,tetA,tetA,NA
gi:498526106:ref:WP_010825742.1:|FEATURES|lsa|MLS|lsa,MLS,lsa,lsa,NA
gi:491081391:ref:WP_004943005.1:|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
gi:444784093:gb:ELX07924.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:545240861:ref:WP_021539663.1:|FEATURES|mdtO|multidrug|mdtO,multidrug,mdtO,mdtO,NA
gi:754650824:ref:WP_042034967.1:|FEATURES|mdtL|multidrug|mdtL,multidrug,mdtL,mdtL,NA
gi:1035833294:ref:WP_064625882.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:1031666764:gb:ANG29235.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:1033094913:ref:WP_064404259.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:446533242:ref:WP_000610588.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
gi:740514218:ref:WP_038343554.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
gi:896495755:ref:WP_049404256.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
gi:452996230:gb:AGG19413.1:|FEATURES|vanB|glycopeptide|vanB,glycopeptide,vanB,vanB,NA
gi:489822049:ref:WP_003725847.1:|FEATURES|norB|fluoroquinolone|norB,fluoroquinolone,norB,norB,NA
gi:972401322:ref:WP_059039705.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:1016942138:ref:WP_063143666.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:447110037:ref:WP_001187293.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:446834447:ref:WP_000911703.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:691004724:ref:WP_031970694.1:|FEATURES|sul1|sulfonamide|sul1,sulfonamide,sul1,sul1,NA
EU547445.1.gene1.p1|FEATURES|OXA-130|beta-lactam|OXA,beta-lactam,OXA,OXA-130,NA
gi:571153128:emb:CDH71753.1:|FEATURES|mexE|multidrug|mexE,multidrug,mexE,mexE,NA
NC_002952.2859165.p01|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
CAA42550|FEATURES|lmrA|MLS|lmrA,MLS,lmrA,lmrA,NA
JX121126.1.gene1.p01|FEATURES|SHV-159|beta-lactam|SHV,beta-lactam,SHV,SHV-159,NA
gi:695771567:ref:WP_032694491.1:|FEATURES|mexX|multidrug|mexX,multidrug,mexX,mexX,NA
gi:917203192:ref:WP_051809904.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:446783062:ref:WP_000860318.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
gi:771527331:ref:WP_045178037.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
YP_691296|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:835750307:ref:WP_047648643.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
JQ364968.1.gene6.p01|FEATURES|RTG-5|beta-lactam|RTG-5,beta-lactam,RTG-5,RTG-5,NA
gi:410113988:emb:CCM84499.1:|FEATURES|mdfA|multidrug|mdfA,multidrug,mdfA,mdfA,NA
gi:920021424:ref:WP_052936095.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
U19459.gene.p01|FEATURES|vatB|MLS|vatB,MLS,vatB,vatB,NA
HM146927.1.gene1.p01|FEATURES|CMY-2|beta-lactam|CMX,beta-lactam,CMX,CMY-2,NA
gi:445996320:ref:WP_000074175.1:|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
KF297582.1.gene1.p01|FEATURES|OXA-353|beta-lactam|OXA,beta-lactam,OXA,OXA-353,NA
AY138986.1.gene1.p01|FEATURES|aadA|aminoglycoside|aadA,aminoglycoside,aadA,aadA,NA
gi:779954221:ref:WP_045401856.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:364569463:gb:EHM47085.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
YP_001348104|FEATURES|mexF|multidrug|mexF,multidrug,mexF,mexF,NA
gi:686913144:gb:KGC91538.1:|FEATURES|oprM|multidrug|oprM,multidrug,oprM,oprM,NA
gi:912988429:ref:WP_050336136.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein,unclassified,cAMP-regulatory_protein,cAMP-regulatory_protein,NA
gi:920597324:ref:WP_053012334.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
gi:446014370:ref:WP_000092225.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:920168972:ref:WP_052961770.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
gi:1016093334:ref:WP_062936877.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
gi:649725629:gb:AIC64337.1:|FEATURES|CTX-M|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M,NA
gi:1031632106:gb:ANG13191.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:653620347:ref:WP_027630679.1:|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
gi:447110035:ref:WP_001187291.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:496081465:ref:WP_008805972.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
AF143804.1.gene1.p1|FEATURES|TEM-92|beta-lactam|TEM,beta-lactam,TEM,TEM-92,NA
AJ549244.1.gene1.p01|FEATURES|CTX-M-28|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-28,NA
AB700703.1.gene1.p01|FEATURES|TEM-198|beta-lactam|TEM,beta-lactam,TEM,TEM-198,NA
gi:664458452:ref:WP_030980047.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:912615464:ref:WP_050196208.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
AF427128.1.gene1.p01|FEATURES|TEM-82|beta-lactam|TEM,beta-lactam,TEM,TEM-82,NA
EU515250.1.gene1.p01|FEATURES|ampC|beta-lactam|ampC,beta-lactam,ampC,ampC,NA
gi:446603231:ref:WP_000680577.1:|FEATURES|ompR|multidrug|ompR,multidrug,ompR,ompR,NA
gi:1028170925:ref:WP_063919386.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:237823426:pdb:2V50:A|FEATURES|mexB|multidrug|mexB,multidrug,mexB,mexB,NA
gi:1031656810:gb:ANG24713.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:757463495:ref:WP_042744636.1:|FEATURES|mecR1|beta-lactam|mecR1,beta-lactam,mecR1,mecR1,NA
gi:490778982:ref:WP_004641168.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:486280055:ref:WP_001570413.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:485869052:ref:WP_001466418.1:|FEATURES|mexX|multidrug|mexX,multidrug,mexX,mexX,NA
BAD86539|FEATURES|ermG|MLS|ermG,MLS,ermG,ermG,NA
gi:664085850:ref:WP_030624018.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:510921449:ref:WP_016242282.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
YP_561834|FEATURES|class_B|beta-lactam|class_B,beta-lactam,class_B,class_B,NA
gi:851917461:ref:WP_048217311.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
gi:446964020:ref:WP_001041276.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
AJ488303.1.gene1.p01|FEATURES|OXA-43|beta-lactam|OXA,beta-lactam,OXA,OXA-43,NA
gi:446726752:ref:WP_000804065.1:|FEATURES|tetA|tetracycline|tetA,tetracycline,tetA,tetA,NA
gi:976152022:ref:WP_059310217.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:1035686348:ref:WP_064529930.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:949714501:ref:WP_057061108.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
gi:346061078:dbj:GAA20961.1:|FEATURES|oprJ|multidrug|oprJ,multidrug,oprJ,oprJ,NA
gi:983581630:ref:WP_060731796.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:695666695:ref:WP_032625316.1:|FEATURES|fosA|fosfomycin|fosA,fosfomycin,fosA,fosA,NA
gi:1004170902:gb:AMP19675.1:|FEATURES|mtrR|multidrug|mtrR,multidrug,mtrR,mtrR,NA
gi:486400357:ref:WP_001606121.1:|FEATURES|mecR1|beta-lactam|mecR1,beta-lactam,mecR1,mecR1,NA
gi:690685601:ref:WP_031944095.1:|FEATURES|aac(3)-II|aminoglycoside|aac(3)-II,aminoglycoside,aac(3)-II,aac(3)-II,NA
gi:686404265:ref:WP_031911067.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:649725905:gb:AIC64475.1:|FEATURES|CTX-M|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M,NA
gi:852124260:ref:WP_048290042.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:757561912:ref:WP_042818315.1:|FEATURES|streptothricin_acetyltransferase|aminoglycoside|streptothricin_acetyltransferase,aminoglycoside,streptothricin_acetyltransferase,streptothricin_acetyltransferase,NA
gi:730685230:ref:WP_034070483.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
gi:835368412:ref:WP_047477759.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:924276532:ref:WP_053464252.1:|FEATURES|marR|multidrug|marR,multidrug,marR,marR,NA
gi:515955175:ref:WP_017385758.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:491006056:ref:WP_004867776.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
P13978|FEATURES|ermC|MLS|ermC,MLS,ermC,ermC,NA
gi:779838942:ref:WP_045343641.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:490306253:ref:WP_004201358.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:32345844:gb:AAM97216.1:|FEATURES|penA|beta-lactam|penA,beta-lactam,penA,penA,NA
gi:32345914:gb:AAM97251.1:|FEATURES|penA|beta-lactam|penA,beta-lactam,penA,penA,NA
gi:518110899:ref:WP_019281107.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
ZP_04144736|FEATURES|bacA|bacitracin|bacA,bacitracin,bacA,bacA,NA
gi:545117546:ref:WP_021480175.1:|FEATURES|aadK|aminoglycoside|aadK,aminoglycoside,aadK,aadK,NA
gi:686338456:ref:WP_031883325.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:754645186:ref:WP_042030296.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:976142370:ref:WP_059301720.1:|FEATURES|vanR|glycopeptide|vanR,glycopeptide,vanR,vanR,NA
JX121122.1.gene1.p01|FEATURES|SHV-155|beta-lactam|SHV,beta-lactam,SHV,SHV-155,NA
NC_009487.5169896.p01|FEATURES|EmrB-QacA_family_major_facilitator_transporter|multidrug|EmrB-QacA_family_major_facilitator_transporter,multidrug,EmrB-QacA_family_major_facilitator_transporter,EmrB-QacA_family_major_facilitator_transporter,NA
gi:664164847:ref:WP_030699302.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
AJ005044.1.gene1.p01|FEATURES|CTX-M-5|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-5,NA
gi:490295528:ref:WP_004190992.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
KF478993.1.gene4.p01|FEATURES|vanX|glycopeptide|vanX,glycopeptide,vanX,vanX,NA
gi:694094674:ref:WP_032439274.1:|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
gi:488173057:ref:WP_002244265.1:|FEATURES|mtrE|multidrug|mtrE,multidrug,mtrE,mtrE,NA
gi:970263942:ref:WP_058647937.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:446399510:ref:WP_000477365.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
ZP_03050303|FEATURES|mdfA|multidrug|mdfA,multidrug,mdfA,mdfA,NA
gi:896514456:ref:WP_049420414.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
gi:1041864789:ref:WP_065226469.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
JN790863.1.gene1.p01|FEATURES|CTX-M-122|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-122,NA
gi:228737810:gb:EEL88310.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:852138723:ref:WP_048293411.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
NP_756938|FEATURES|mdtN|multidrug|mdtN,multidrug,mdtN,mdtN,NA
AF250872.1.gene1.p1|FEATURES|TEM-87|beta-lactam|TEM,beta-lactam,TEM,TEM-87,NA
ZP_04307065|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:1022656033:ref:WP_063413406.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:1028848468:ref:WP_064017431.1:|FEATURES|vanA|glycopeptide|vanA,glycopeptide,vanA,vanA,NA
NP_826974|FEATURES|tcmA|tetracenomycin_C|tcmA,tetracenomycin_C,tcmA,tcmA,NA
gi:488091400:ref:WP_002162797.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:829966683:ref:WP_047373087.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:585333713:ref:WP_024215363.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:446519901:ref:WP_000597247.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:447003335:ref:WP_001080591.1:|FEATURES|mdtE|multidrug|mdtE,multidrug,mdtE,mdtE,NA
YP_001571041|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:829789147:ref:WP_047347378.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
ABX79421|FEATURES|vanY|glycopeptide|vanY,glycopeptide,vanY,vanY,NA
gi:657628711:ref:WP_029439419.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:1011940840:ref:WP_062749127.1:|FEATURES|blaR1|beta-lactam|blaR1,beta-lactam,blaR1,blaR1,NA
gi:446910350:ref:WP_000987606.1:|FEATURES|adeB|multidrug|adeB,multidrug,adeB,adeB,NA
NP_671620|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein,rifamycin,rifampin_resistance_protein,rifampin_resistance_protein,NA
gi:730437356:ref:WP_034014953.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
AF427127.1.gene1.p01|FEATURES|TEM-81|beta-lactam|TEM,beta-lactam,TEM,TEM-81,NA
gi:919975630:ref:WP_052925175.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:851902044:ref:WP_048212058.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:693054423:ref:WP_032222656.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:435335357:gb:ELP05609.1:|FEATURES|mdfA|multidrug|mdfA,multidrug,mdfA,mdfA,NA
gi:391251304:gb:EIQ10520.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:917531477:ref:WP_052137894.1:|FEATURES|vanZ|glycopeptide|vanZ,glycopeptide,vanZ,vanZ,NA
gi:740511722:ref:WP_038341525.1:|FEATURES|mdtN|multidrug|mdtN,multidrug,mdtN,mdtN,NA
AY288523.1.gene1.p01|FEATURES|OXA-49|beta-lactam|OXA,beta-lactam,OXA,OXA-49,NA
gi:823291602:ref:WP_047047573.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:917155568:ref:WP_051762280.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:1031664546:gb:ANG28131.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:966458774:ref:WP_058491627.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:505316563:ref:WP_015503665.1:|FEATURES|mexD|multidrug|mexD,multidrug,mexD,mexD,NA
gi:487992851:ref:WP_002064996.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
AJ557142.gene.p01|FEATURES|CTX-M-32|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-32,NA
gi:914239975:ref:WP_050555284.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:504293267:ref:WP_014480369.1:|FEATURES|aadK|aminoglycoside|aadK,aminoglycoside,aadK,aadK,NA
gi:494975602:ref:WP_007701627.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:1017945831:emb:SAF46352.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
M58472.1.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase,phenicol,cat_chloramphenicol_acetyltransferase,cat_chloramphenicol_acetyltransferase,NA
gi:1007099473:ref:WP_061843909.1:|FEATURES|fmtC|beta-lactam|fmtC,beta-lactam,fmtC,fmtC,NA
gi:556279336:ref:WP_023289005.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:1032702279:ref:WP_064278936.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:981224618:ref:WP_059445588.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:492164406:ref:WP_005767800.1:|FEATURES|mdtM|multidrug|mdtM,multidrug,mdtM,mdtM,NA
gi:485870663:ref:WP_001467705.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
CAO91612|FEATURES|PBP-2X|beta-lactam|PBP-2X,beta-lactam,PBP-2X,PBP-2X,NA
gi:549996609:ref:WP_022575371.1:|FEATURES|mexE|multidrug|mexE,multidrug,mexE,mexE,NA
gi:983413012:ref:WP_060578893.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:693102622:ref:WP_032257441.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
Y17715.1.gene1.p01|FEATURES|OXY-1|beta-lactam|OXY,beta-lactam,OXY,OXY-1,NA
gi:1028103900:ref:WP_063859320.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:447077029:ref:WP_001154285.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:545292605:ref:WP_021573478.1:|FEATURES|mdtO|multidrug|mdtO,multidrug,mdtO,mdtO,NA
Q6HLG8|FEATURES|bacA|bacitracin|bacA,bacitracin,bacA,bacA,NA
gi:647263485:ref:WP_025711508.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:817601362:ref:WP_046595100.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:1033060485:ref:WP_064371646.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:487748274:ref:WP_001830335.1:|FEATURES|marR|multidrug|marR,multidrug,marR,marR,NA
gi:1031636807:gb:ANG15402.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:727207933:ref:WP_033669393.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:695273519:ref:WP_032495453.1:|FEATURES|ermB|MLS|ermB,MLS,ermB,ermB,NA
gi:636935835:ref:WP_024399345.1:|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
AY248038.1.gene4.p01|FEATURES|CARB-9|beta-lactam|CARB,beta-lactam,CARB,CARB-9,NA
gi:740854423:ref:WP_038639676.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:745778919:ref:WP_039072690.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:1028199993:ref:WP_063943913.1:|FEATURES|fosA|fosfomycin|fosA,fosfomycin,fosA,fosA,NA
gi:502788876:ref:WP_013023852.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I,aminoglycoside,aph(6)-I,aph(6)-I,NA
gi:515409313:ref:WP_016898353.1:|FEATURES|marR|multidrug|marR,multidrug,marR,marR,NA
YP_348488|FEATURES|mexD|multidrug|mexD,multidrug,mexD,mexD,NA
gi:507059692:ref:WP_016130597.1:|FEATURES|vanR|glycopeptide|vanR,glycopeptide,vanR,vanR,NA
gi:446910340:ref:WP_000987596.1:|FEATURES|adeB|multidrug|adeB,multidrug,adeB,adeB,NA
KF297583.1.gene1.p01|FEATURES|OXA-354|beta-lactam|OXA,beta-lactam,OXA,OXA-354,NA
gi:1031624195:gb:ANG09482.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:519089602:ref:WP_020245477.1:|FEATURES|mdtL|multidrug|mdtL,multidrug,mdtL,mdtL,NA
gi:490369843:ref:WP_004249473.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
FR823292.1.gene2.p01|FEATURES|blaZ|beta-lactam|blaZ,beta-lactam,blaZ,blaZ,NA
BAA31456|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
YP_758631|FEATURES|lnuA|MLS|lnuA,MLS,lnuA,lnuA,NA
YP_001570871|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
gi:739556627:ref:WP_037414833.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:1036489672:emb:SAM46405.1:|FEATURES|vanW|glycopeptide|vanW,glycopeptide,vanW,vanW,NA
FJ214368.1.gene1.p1|FEATURES|CTX-M-85|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-85,NA
gi:985604672:ref:WP_060844168.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:910807052:ref:WP_050106980.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
AAF72530|FEATURES|CTX-M-14|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-14,NA
gi:649725727:gb:AIC64386.1:|FEATURES|CTX-M|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M,NA
AY570763.1.gene3.p01|FEATURES|OXA-58|beta-lactam|OXA,beta-lactam,OXA,OXA-58,NA
gi:495940511:ref:WP_008665090.1:|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
JX896165.1.gene1.p01|FEATURES|CTX-M-134|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-134,NA
gi:487361978:ref:WP_001636780.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:693054987:ref:WP_032223114.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
JN861783.1.gene1.p01|FEATURES|OXA-215|beta-lactam|OXA,beta-lactam,OXA,OXA-215,NA
gi:485716527:ref:WP_001348400.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:445996732:ref:WP_000074587.1:|FEATURES|bcrA|bacitracin|bcrA,bacitracin,bcrA,bcrA,NA
AJ635404.2.gene1.p01|FEATURES|OKP-A|beta-lactam|OKP-A,beta-lactam,OKP-A,OKP-A,NA
gi:488649958:ref:WP_002586572.1:|FEATURES|vanX|glycopeptide|vanX,glycopeptide,vanX,vanX,NA
gi:686170044:ref:WP_031795113.1:|FEATURES|mecR1|beta-lactam|mecR1,beta-lactam,mecR1,mecR1,NA
gi:491301754:ref:WP_005159757.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein,unclassified,cAMP-regulatory_protein,cAMP-regulatory_protein,NA
gi:686149587:ref:WP_031783560.1:|FEATURES|mecA|beta-lactam|mecA,beta-lactam,mecA,mecA,NA
gi:670466162:ref:WP_031414939.1:|FEATURES|vanZ|glycopeptide|vanZ,glycopeptide,vanZ,vanZ,NA
